zip,city,metro,median_home_value,fips
95336,Manteca,"Stockton, CA",520149.29302276624,06077
32304,Tallahassee,"Tallahassee, FL",162532.94916699556,12073
30097,Duluth,"Atlanta-Sandy Springs-Alpharetta, GA",704534.4126537,13135
34668,Port Richey,"Tampa-St. Petersburg-Clearwater, FL",221862.6686693113,12101
80233,Thornton,"Denver-Aurora-Lakewood, CO",458679.982993634,08001
85286,Chandler,"Phoenix-Mesa-Chandler, AZ",605514.4875727134,04013
11419,New York,"New York-Newark-Jersey City, NY-NJ-PA",751278.4058087575,36081
95148,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",1512932.2220600974,06085
32712,Apopka,"Orlando-Kissimmee-Sanford, FL",428546.4285813389,12095
98661,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",446405.25967998384,53011
33321,Tamarac,"Miami-Fort Lauderdale-Pompano Beach, FL",295829.91048249137,12011
48185,Westland,"Detroit-Warren-Dearborn, MI",215122.0399025483,26163
90638,La Mirada,"Los Angeles-Long Beach-Anaheim, CA",863806.0219215521,06037
34786,Windermere,"Orlando-Kissimmee-Sanford, FL",687623.7459989522,12095
23455,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",447381.25496131607,51810
55379,Shakopee,"Minneapolis-St. Paul-Bloomington, MN-WI",393676.5308312482,27139
27707,Durham,"Durham-Chapel Hill, NC",407012.7239462494,37063
18104,Allentown,"Allentown-Bethlehem-Easton, PA-NJ",384211.32777934335,42077
66502,Manhattan,"Manhattan, KS",250358.1634490369,20161
23188,Williamsburg,"Virginia Beach-Norfolk-Newport News, VA-NC",459280.090893123,51095
80239,Denver,"Denver-Aurora-Lakewood, CO",420000.3258489416,08031
84065,Riverton,"Salt Lake City, UT",632771.3847722209,49035
29223,Columbia,"Columbia, SC",216438.7170246822,45079
75006,Carrollton,"Dallas-Fort Worth-Arlington, TX",337402.1924230684,48113
92128,San Diego,"San Diego-Chula Vista-Carlsbad, CA",980713.8112508738,06073
77539,Dickinson,"Houston-The Woodlands-Sugar Land, TX",275839.37385258643,48167
